status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,
1535727923331510_1774362169468083,OMG...is it really Monday tomorrow? Let's enjoy the last Sunday moments a little longer. What was the highlight of your weekend?,Timeline Photos,photo,https://www.facebook.com/LeEcoGlobal/photos/a.1604271533143815.1073741828.1535727923331510/1774362169468083/?type=3,8/21/16 19:10,92,6,2,90,1,0,1,0,0,
1535727923331510_1773882272849406,Ring ring? Hello? We'd love for you to tell us what you'd like to see next! Comment with your thoughts and we'll be sure to share.,Timeline Photos,photo,https://www.facebook.com/LeEcoGlobal/photos/a.1604271533143815.1073741828.1535727923331510/1773882272849406/?type=3,8/20/16 17:23,50,10,0,50,0,0,0,0,0,
1535727923331510_1773448442892789,"Dinner? Yeah, we'll take headphones hold the wires add some Bluetooth.",Timeline Photos,photo,https://www.facebook.com/LeEcoGlobal/photos/a.1604271533143815.1073741828.1535727923331510/1773448442892789/?type=3,8/19/16 20:16,65,5,4,64,1,0,0,0,0,
1535727923331510_1772861332951500,We think great ideas sound better when they become reality. Have a stellar product idea you'd like us to turn up the volume on? Let us know!,Timeline Photos,photo,https://www.facebook.com/LeEcoGlobal/photos/a.1604271533143815.1073741828.1535727923331510/1772861332951500/?type=3,8/18/16 20:00,68,5,12,67,1,0,0,0,0,
1535727923331510_1772412282996405,Engineering in your blood? Looking for new challenges? Come invent the future with us: http://bit.ly/2bo6qYX,Timeline Photos,photo,https://www.facebook.com/LeEcoGlobal/photos/a.1604271533143815.1073741828.1535727923331510/1772412282996405/?type=3,8/17/16 20:00,79,2,7,74,3,2,0,0,0,
1535727923331510_1772285073009126,Been thinking about picking up a pair of Bluetooth headphones? We've got you covered. Grab a pair now for over 50% off: http://bit.ly/2bweROX,Timeline Photos,photo,https://www.facebook.com/LeEcoGlobal/photos/a.1604271533143815.1073741828.1535727923331510/1772285073009126/?type=3,8/17/16 12:24,90,7,14,85,5,0,0,0,0,
1535727923331510_1771968273040806,Are brands allergic to listening to their customers? We're not. Tell us what you want to see next from #LeEco.,Timeline Photos,photo,https://www.facebook.com/LeEcoGlobal/photos/a.1604271533143815.1073741828.1535727923331510/1771968273040806/?type=3,8/16/16 20:00,63,22,2,61,1,1,0,0,0,
1535727923331510_1771509659753334,"Today's the perfect day to ditch the desk, hit the beach and relax with close friends. #NationalRelaxationDay",Timeline Photos,photo,https://www.facebook.com/LeEcoGlobal/photos/a.1604271533143815.1073741828.1535727923331510/1771509659753334/?type=3,8/15/16 18:08,201,2,9,200,1,0,0,0,0,
1535727923331510_1770616399842660,"Pardon the disruption, but shouldn't every phone know if you're left-handed or not? #LeftHandersDay",Timeline Photos,photo,https://www.facebook.com/LeEcoGlobal/photos/a.1604271533143815.1073741828.1535727923331510/1770616399842660/?type=3,8/13/16 14:00,313,20,40,295,10,7,1,0,0,
1535727923331510_1769905323247101,The best ideas don't always have to come from us. Go ahead! Tell us your thoughts. #ThursdayThoughts,Timeline Photos,photo,https://www.facebook.com/LeEcoGlobal/photos/a.1604271533143815.1073741828.1535727923331510/1769905323247101/?type=3,8/11/16 20:00,117,18,19,112,2,3,0,0,0,
1535727923331510_1769488986622068,"From gaming to in-flight experiences, the ever-evolving VR technology is playing a big role in how we see the world. #WednesdayWisdom",Timeline Photos,photo,https://www.facebook.com/LeEcoGlobal/photos/a.1604271533143815.1073741828.1535727923331510/1769488986622068/?type=3,8/10/16 20:00,311,23,56,295,10,5,1,0,0,
1535727923331510_1769161243321509,"Instead of us telling you what you want, shouldn't it be the other way around? #LeEco",Timeline Photos,photo,https://www.facebook.com/LeEcoGlobal/photos/a.1604271533143815.1073741828.1535727923331510/1769161243321509/?type=3,8/9/16 20:00,165,23,13,159,3,3,0,0,0,
1535727923331510_1768718313365802,What will be next? We think the possibilities are endless.,i.giphy.com,link,http://i.giphy.com/l46C5aSmnbHk9Fi6Y.gif,8/8/16 20:00,211,10,101,199,5,6,1,0,0,
1535727923331510_1768325156738451,"A wise company once said, ""Music is best when you can take it anywhere."" (Spoiler: It was us.)",Timeline Photos,photo,https://www.facebook.com/LeEcoGlobal/photos/a.1604271533143815.1073741828.1535727923331510/1768325156738451/?type=3,8/7/16 12:00,306,16,33,289,13,0,4,0,0,
1535727923331510_1767651440139156,If you could race any other car in the #LeSEE what would it be? #FutureFriday,i.giphy.com,link,http://i.giphy.com/26BRruIWPwZ90tlTy.gif,8/5/16 18:59,150,13,47,140,5,5,0,0,0,
1535727923331510_1767567533480880,"Last week, we welcomed @VIZIO into our family. Check out our interview with CTO Matthew McRae. #LeEcoVIZIO",Championing Customer-Centric Innovation: Q&A With VIZIO CTO Matthew McRae,link,http://bit.ly/2anZtG6,8/5/16 13:00,57,5,8,57,0,0,0,0,0,
1535727923331510_1767301800174120,It's not every day you see a freethinker and an engineer creating a product together. #LeFuture,Timeline Photos,photo,https://www.facebook.com/LeEcoGlobal/photos/a.1604271533143815.1073741828.1535727923331510/1767301800174120/?type=3,8/4/16 20:00,170,16,21,160,7,2,1,0,0,
1535727923331510_1766522590252041,"A bike that runs Android, shoots lasers and has a heart rate sensor? Game changer. #LeSuperBike",Timeline Photos,photo,https://www.facebook.com/LeEcoGlobal/photos/a.1604271533143815.1073741828.1535727923331510/1766522590252041/?type=3,8/2/16 19:09,2502,182,1033,2259,139,98,5,1,0,
1535727923331510_1766199420284358,What if your dog cleaned up after you for a change?,Alphabet unveils robot dog capable of cleaning the house,link,http://bit.ly/28RmN9F,8/1/16 20:46,482,28,275,433,20,26,2,1,0,
1535727923331510_1765066650397635,"LeEco and Vizio are joining forces to create the future of technology. If you'd like to be a part of something awesome, check out our openings.",LeEco US,link,https://www.linkedin.com/company/leeco-us,7/31/16 12:01,172,9,32,163,4,5,0,0,0,
1535727923331510_1765106970393603,"For this week's #AlbumCutFriday, we're taking you across the United States. Check out ""A Burning Soul"" by Owen!",Album Cut Friday: Owen,link,http://forum.le.com/us/index.php?threads%2Falbum-cut-friday-owen.2611%2F,7/29/16 21:47,27,5,5,27,0,0,0,0,0,
1535727923331510_1764973157073651,LeEco + Vizio = #squadgoals ,,video,https://www.facebook.com/LeEcoGlobal/videos/1764973157073651/,7/29/16 12:02,297,12,82,281,7,6,3,0,0,
